"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL185238";"GW786460X";"None";"287.33";"0";"3.39";"19";"Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1";"IC50";"'>'";"16000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL832978";"Inhibition of c-Jun N-terminal kinase 1-alpha 1 binding in fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138735";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";""
"CHEMBL208637";"";"None";"220.23";"0";"0.89";"1";"CCOc1nc(NC(C)=O)cc(N)c1C#N";"IC50";"'='";"840.0";"nM";"6.08";"";"";"UO_0000065";"27.59";"0.52";"5.19";"6.01";"0";"CHEMBL866012";"Inhibition of JNK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138045";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL220749";"";"None";"435.51";"0";"2.48";"17e";"CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCc3ccccc3)n2)cc1";"IC50";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL853925";"Inhibition of JNK1 by ATF2 phosphorylation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139733";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL1950294";"";"None";"428.49";"0";"4.68";"7";"O[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCCC4)c3n2)CC1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"16.15";"0.30";"2.24";"7.87";"0";"CHEMBL1952891";"Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1949521";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";""
"CHEMBL1644621";"";"None";"371.44";"0";"4.13";"13";"O=c1[nH]nc(-c2ccnc(NC3CCCC3)c2)n1-c1ccc2ccccc2c1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1648827";"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL504550";"";"None";"855.99";"3";"-4.02";"10, Ac-RPTTLNL-OH";"CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O)[C@@H](C)O";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"6.25";"0.12";"9.37";"1.42";"0";"CHEMBL1825795";"Displacement of biotin-RPKRPTTLNLF from GST tagged JNK1 using ATF2 substrate by dissociation enhanced lanthanide fluoro-immuno assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821566";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";""
"CHEMBL1822310";"";"None";"3993.67";"None";"None";"11, D-JNKI";"CC(=O)N[C@@H](C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CO)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](C(=O)N[C@H](CCC(N)=O)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(N)=O)[C@H](C)O)[C@H](C)O)C(C)C)[C@@H](C)O";"IC50";"'>='";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1825796";"Inhibition of JNK1 using ATF2 substrate by TR-FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821566";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";""
"CHEMBL380724";"";"None";"356.39";"0";"4.73";"10f";"O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)c1ccco1";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"20.70";"0.37";"2.65";"9.22";"0";"CHEMBL862177";"Inhibition of JNK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139041";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL203059";"";"None";"374.44";"0";"4.25";"22";"O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1";"IC50";"'='";"122.0";"nM";"6.91";"";"";"UO_0000065";"18.46";"0.34";"2.66";"9.08";"0";"CHEMBL862177";"Inhibition of JNK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139041";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL202639";"";"None";"433.49";"0";"4.22";"16";"CC(=O)N1CCC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1";"IC50";"'='";"74.0";"nM";"7.13";"";"";"UO_0000065";"16.45";"0.30";"2.91";"8.18";"0";"CHEMBL862177";"Inhibition of JNK1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139041";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL384951";"";"None";"403.46";"0";"0.93";"17l";"COCCNc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL853925";"Inhibition of JNK1 by ATF2 phosphorylation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139733";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"Staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"1746.0";"nM";"5.76";"";"";"UO_0000065";"12.34";"0.22";"1.41";"8.29";"0";"CHEMBL1919760";"Inhibition of JNK1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914457";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";""
"CHEMBL1682003";"";"None";"341.39";"0";"2.97";"20";"COC(=O)c1c(C)csc1NC(=O)Cc1cccc2nccnc12";"IC50";"'='";"95.0";"nM";"7.02";"";"";"UO_0000065";"20.57";"0.40";"4.05";"8.65";"0";"CHEMBL1686760";"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681717";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL2376917";"";"None";"485.59";"0";"4.23";"5i";"COc1ccccc1Nc1ccc2c(cnn2-c2cccc(C(=O)NCCCN3CCOCC3)c2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2379719";"Inhibition of JNK1 (unknown origin)-mediated ATF2 Thr71 phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2375283";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2390974";"";"None";"445.55";"0";"2.34";"18g";"CS(=O)(=O)CCCOc1cccc2c1cnn2-c1ccnc(N[C@H]2CC[C@H](O)CC2)n1";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"18.42";"0.36";"5.87";"6.88";"0";"CHEMBL2429340";"Inhibition of human JNK1 assessed as inhibition of GST-tagged ATF2 (19 to 96) phosphorylation incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]-ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424622";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL3655583";"";"None";"526.64";"1";"4.32";"BDBM104969";"O=C([C@H]1CC[C@H](Nc2nccc(-c3cnc4c(OCc5ccccc5)cccn34)n2)CC1)N1CCC(O)CC1";"IC50";"'='";"33.3";"nM";"7.48";"";"223525";"UO_0000065";"14.20";"0.26";"3.16";"7.13";"0";"CHEMBL3705093";"In Vitro Inhibition Assay: Inhibition assay using JNK kinase.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638465";"37";"BindingDB Database";"";"2013";"None";"";"";""
"CHEMBL572283";"";"None";"399.46";"0";"3.30";"9c";"c1cc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc(N2CCOCC2)c1";"IC50";"'='";"123.0";"nM";"6.91";"";"";"UO_0000065";"17.30";"0.31";"3.61";"8.53";"0";"CHEMBL1042601";"Inhibition of JNK1 by time resolved fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156783";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL584899";"";"None";"501.55";"1";"4.24";"9j";"N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)n2)cc(N2CCOCC2)c1";"IC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"14.77";"0.27";"3.17";"6.30";"0";"CHEMBL1042601";"Inhibition of JNK1 by time resolved fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156783";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL409936";"";"None";"478.34";"1";"5.27";"11a";"COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccccc1OC";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"14.63";"0.31";"1.73";"12.17";"0";"CHEMBL939932";"Inhibition of human JNK1 by radiometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142440";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";""
"CHEMBL409429";"";"None";"476.37";"1";"5.85";"6d";"COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1CCCc1ccccc1";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"14.11";"0.30";"0.87";"13.92";"0";"CHEMBL939932";"Inhibition of human JNK1 by radiometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2276";"c-Jun N-terminal kinase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142440";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";""
