,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
20,CHEMBL220749,,,435.51,0.0,2.48,17e,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCc3ccccc3)n2)cc1,IC50,'=',820.0,nM,6.09,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
21,CHEMBL1950294,,,428.49,0.0,4.68,7,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCCC4)c3n2)CC1,IC50,'=',120.0,nM,6.92,,,UO_0000065,16.15,0.3,2.24,7.87,0,CHEMBL1952891,Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting,B,BAO_0000019,assay format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949521,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
23,CHEMBL504550,,,855.99,3.0,-4.02,"10, Ac-RPTTLNL-OH",CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O)[C@@H](C)O,IC50,'=',4500.0,nM,5.35,,,UO_0000065,6.25,0.12,9.37,1.42,0,CHEMBL1825795,Displacement of biotin-RPKRPTTLNLF from GST tagged JNK1 using ATF2 substrate by dissociation enhanced lanthanide fluoro-immuno assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1821566,1,Scientific Literature,J Med Chem,2011.0,,,,
25,CHEMBL380724,,,356.39,0.0,4.73,10f,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)c1ccco1,IC50,'=',42.0,nM,7.38,,,UO_0000065,20.7,0.37,2.65,9.22,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
26,CHEMBL203059,,,374.44,0.0,4.25,22,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,IC50,'=',122.0,nM,6.91,,,UO_0000065,18.46,0.34,2.66,9.08,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
27,CHEMBL202639,,,433.49,0.0,4.22,16,CC(=O)N1CCC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,IC50,'=',74.0,nM,7.13,,,UO_0000065,16.45,0.3,2.91,8.18,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
28,CHEMBL384951,,,403.46,0.0,0.93,17l,COCCNc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',120.0,nM,6.92,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
29,CHEMBL388978,STAUROSPORINE,,466.54,0.0,4.35,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,'=',1746.0,nM,5.76,,,UO_0000065,12.34,0.22,1.41,8.29,0,CHEMBL1919760,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1914457,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
30,CHEMBL1682003,,,341.39,0.0,2.97,20,COC(=O)c1c(C)csc1NC(=O)Cc1cccc2nccnc12,IC50,'=',95.0,nM,7.02,,,UO_0000065,20.57,0.4,4.05,8.65,0,CHEMBL1686760,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1681717,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
32,CHEMBL2390974,,,445.55,0.0,2.34,18g,CS(=O)(=O)CCCOc1cccc2c1cnn2-c1ccnc(N[C@H]2CC[C@H](O)CC2)n1,IC50,'=',6.2,nM,8.21,,,UO_0000065,18.42,0.36,5.87,6.88,0,CHEMBL2429340,Inhibition of human JNK1 assessed as inhibition of GST-tagged ATF2 (19 to 96) phosphorylation incubated for 10 mins prior to substrate addition measured after 30 mins by scintillation counting analysis in presence of [gamma-33P]-ATP,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2424622,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
33,CHEMBL3655583,,,526.64,1.0,4.32,BDBM104969,O=C([C@H]1CC[C@H](Nc2nccc(-c3cnc4c(OCc5ccccc5)cccn34)n2)CC1)N1CCC(O)CC1,IC50,'=',33.3,nM,7.48,,223525,UO_0000065,14.2,0.26,3.16,7.13,0,CHEMBL3705093,In Vitro Inhibition Assay: Inhibition assay using JNK kinase.,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3638465,37,BindingDB Database,,2013.0,,,,
34,CHEMBL572283,,,399.46,0.0,3.3,9c,c1cc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc(N2CCOCC2)c1,IC50,'=',123.0,nM,6.91,,,UO_0000065,17.3,0.31,3.61,8.53,0,CHEMBL1042601,Inhibition of JNK1 by time resolved fluorescence assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156783,1,Scientific Literature,J Med Chem,2010.0,,,,
35,CHEMBL584899,,,501.55,1.0,4.24,9j,N#Cc1cc(-c2ccnc(Nc3ccc(-n4cnc(-c5ccccn5)n4)cc3)n2)cc(N2CCOCC2)c1,IC50,'=',39.0,nM,7.41,,,UO_0000065,14.77,0.27,3.17,6.3,0,CHEMBL1042601,Inhibition of JNK1 by time resolved fluorescence assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156783,1,Scientific Literature,J Med Chem,2010.0,,,,
36,CHEMBL409936,,,478.34,1.0,5.27,11a,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccccc1OC,IC50,'=',100.0,nM,7.0,,,UO_0000065,14.63,0.31,1.73,12.17,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
37,CHEMBL409429,,,476.37,1.0,5.85,6d,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1CCCc1ccccc1,IC50,'=',190.0,nM,6.72,,,UO_0000065,14.11,0.3,0.87,13.92,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
38,CHEMBL258676,,,448.32,1.0,5.27,6b,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccccc1,IC50,'=',86.0,nM,7.07,,,UO_0000065,15.76,0.33,1.8,14.63,0,CHEMBL939932,Inhibition of human JNK1 by radiometric assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142440,1,Scientific Literature,Bioorg Med Chem,2008.0,,,,
39,CHEMBL241262,,,471.56,0.0,3.93,11,COc1cc[nH]c1/C=C1\C(=O)Nc2cccc(C#CC(O)c3ccc(OCCCN(C)C)cc3)c21,IC50,'=',34.0,nM,7.47,,,UO_0000065,15.84,0.29,3.54,8.6,0,CHEMBL902320,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138387,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
43,CHEMBL203839,,,378.41,0.0,4.0,20,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOC1,IC50,'=',48.0,nM,7.32,,,UO_0000065,19.34,0.36,3.32,9.61,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
44,CHEMBL203535,,,360.42,0.0,3.86,18,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOC1,IC50,'=',384.0,nM,6.42,,,UO_0000065,17.8,0.32,2.56,8.43,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
45,CHEMBL202666,,,433.49,0.0,4.22,17,CC(=O)N1CCC[C@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,IC50,'=',125.0,nM,6.9,,,UO_0000065,15.92,0.29,2.68,7.91,0,CHEMBL862177,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139041,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
46,CHEMBL1788116,,,600.5,0.0,3.94,59,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,IC50,'=',150.0,nM,6.82,,,UO_0000065,18.32,0.35,2.88,7.89,0,CHEMBL829458,Inhibition of c-Jun N-Terminal kinase 1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140315,1,Scientific Literature,J Med Chem,2005.0,,,,
48,CHEMBL4069365,,,421.38,0.0,4.14,13,CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,IC50,'=',2670.0,nM,5.57,,,UO_0000065,13.23,0.25,1.43,5.5,0,CHEMBL4007717,Inhibition of JNK1 (unknown origin) after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4007384,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,,
49,CHEMBL377838,,,264.35,0.0,2.39,21,CCCCSc1nc(NC(C)=O)cc(N)c1C#N,IC50,'=',8900.0,nM,5.05,,,UO_0000065,19.11,0.38,2.66,5.5,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
50,CHEMBL210618,,,356.38,0.0,2.13,6o,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,IC50,'=',45.0,nM,7.35,,,UO_0000065,20.62,0.39,5.22,6.15,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
51,CHEMBL245336,,,398.9,0.0,2.9,20,CNC(=O)CN1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,IC50,'=',13.0,nM,7.89,,,UO_0000065,19.77,0.38,4.99,9.18,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
52,CHEMBL392613,,,364.45,0.0,3.03,12,CCNC(=O)N1CCC(Nc2nccc(-n3ccc4ccccc43)n2)CC1,IC50,'=',71.0,nM,7.15,,,UO_0000065,19.62,0.36,4.12,9.52,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
54,CHEMBL220696,,,403.46,0.0,0.66,17q,C[C@H](CO)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',180.0,nM,6.75,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
55,CHEMBL242488,,,287.32,0.0,3.1,1,CCCCOc1nccc(Nc2ccccc2C(=O)O)n1,IC50,'=',22300.0,nM,4.65,,,UO_0000065,,,,,0,CHEMBL905886,Inhibition of TNF-alpha-stimulated phosphorylation of c-Jun in HepG2 cells,F,BAO_0000219,cell-based format,Homo sapiens,,,HepG2,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143787,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,CHEMBL3307718,,,
56,CHEMBL1923191,,,457.33,1.0,5.63,10c,NC(=O)c1ccccc1Nc1cc(Oc2ccc(OC(F)(F)F)cc2)ncc1C(F)(F)F,IC50,'=',35.0,nM,7.46,,,UO_0000065,16.3,0.32,1.83,8.62,0,CHEMBL1925288,Inhibition of JNK1 using biotinylated-ATF2 as substrate by HTRF assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1921763,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
58,CHEMBL1946325,,,418.48,1.0,5.58,1,COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)cc1,IC50,'=',1100.0,nM,5.96,,,UO_0000065,14.24,0.26,0.38,7.75,0,CHEMBL1947746,Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1944604,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
59,CHEMBL1946336,,,392.44,1.0,5.04,15,COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C(C)C)c3n2)cc1,IC50,'=',840.0,nM,6.08,,,UO_0000065,15.48,0.29,1.04,7.9,0,CHEMBL1947746,Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1944604,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
