,SMILES,Scaffold,R-groups,ro_gen_design,struc_alerts,macrocycle,dundee_matches
18,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(OCOC)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,"['het-C-het not in ring', 'acetal']"
19,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(S)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['thiol']
20,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(OC(C)=O)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*N1CCOCC1,False,False,True,['phenol ester']
21,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N(C)C=O)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCC,False,False,True,['aldehyde']
22,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3CBr)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,False,True,['alkyl halide']
23,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccnc(-c4ccc(N)cc4)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC1CCCCC1,False,False,True,['aniline']
24,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(=O)(=O)c4ccc(N)cc4)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
25,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cnc(-c4ccc(N)cc4)s3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
26,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC=Nc4ccc(OCC)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1n(-c2ccccc2)ncc1,True,False,True,['imine']
27,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(Br)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC1CCCC1,False,False,True,['2-halo pyridine']
28,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCCOC)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccccc1,True,False,True,['Aliphatic long chain']
29,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(=O)c4ccc(Cl)nc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ncc(C)cc1,True,False,True,['2-halo pyridine']
30,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4cc(OC)ccc4N)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(N2CCOCC2)cc1,True,False,True,['aniline']
31,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3CCl)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,True,False,True,['alkyl halide']
32,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(NS(=O)(=O)c4ccc(N)cc4)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
33,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(-c4ccc(N)cc4)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*N(C)C,False,False,True,['aniline']
34,C=CCNS(=O)(=O)c1ccc(OCC)c(-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)c1,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nc(N2CCOCC2)ccc1,True,False,True,['isolated alkene']
35,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3C#Cc3ccncc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCCC,False,False,True,['triple bond']
36,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccn(C=O)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1cccc(OCCO)c1,False,False,True,['aldehyde']
37,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCc4ccc(N=C(N)N)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nc(-c2ccc(OCCO)cc2)ncc1,False,False,True,['imine']
38,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccccc3N)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nc(-c2ccc(F)cc2)ncc1,False,False,True,['aniline']
39,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc([N+](=O)[O-])c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(OC)ccc1,False,False,True,"['nitro group', 'Oxygen-nitrogen single bond']"
40,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc([N+](=O)[O-])cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCc1ccc(OC)cc1,False,False,True,"['nitro group', 'Oxygen-nitrogen single bond']"
41,C=CCOc1ccc(-c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)cc1,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1cc(OCC)ccc1,False,False,True,['isolated alkene']
42,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cnc(-c4ccc(N)cc4)cn3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
43,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3nnc(-c4ccc(N)cc4)o3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCCOC,False,False,True,['aniline']
44,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCCO)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc2ccccc2nc1,True,False,True,['Aliphatic long chain']
45,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(-c4ccc(F)nc4)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['2-halo pyridine']
46,C=CCc1cccc(-c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)c1,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC1CCCCC1,False,False,True,['isolated alkene']
47,C#CCOc1ccc(-c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)cc1,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['triple bond']
48,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCCl)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nc(-c2ccc(F)cc2)ncc1,True,False,True,['alkyl halide']
49,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3C=Cc3ccc(Cl)c(Cl)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1ncc(F)cc1,False,False,True,['stilbene']
50,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4ccc(O)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(N2CCOCC2)cc1,True,False,True,['hydroquinone']
51,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccnn3-c3ccc(N)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(C)(C)C,False,False,True,['aniline']
52,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCc4ccc(N)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCc1ccc(N)cc1,True,False,True,['aniline']
53,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3nccc(OCCOC)n3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nccc(OCCOC)n1,False,False,True,['Aliphatic long chain']
54,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(C)(=O)=O)c(O)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(NS(=O)(=O)C)c(O)c1,False,False,True,['catechol']
55,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(N)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(N)ccc1,False,False,True,['aniline']
56,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccnc3Cl)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1c(Cl)nccc1,False,False,True,['2-halo pyridine']
57,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(=O)(=O)O)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(NS(=O)(=O)O)cc1,False,False,True,['Sulfonic acid']
58,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(OCCOC)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(OCCOC)cc1,False,False,True,['Aliphatic long chain']
59,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N)cc3Cl)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1c(Cl)cc(N)cc1,False,False,True,['aniline']
60,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3nc(-c4ccc(N)cc4)ns3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1nc(-c2ccc(N)cc2)ns1,False,False,True,['aniline']
61,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(-c4ccc(N)cc4)nc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(-c2ccc(N)cc2)nc1,False,False,True,['aniline']
62,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NN=C(C)C)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,C(=NN*)(C)C,True,False,True,['Oxygen-nitrogen single bond']
63,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3CC3=CCCC3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*CC1=CCCC1,True,False,True,['isolated alkene']
64,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3cccc(OCCOC)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(OCCOC)ccc1,False,False,True,['Aliphatic long chain']
65,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)Nc4ccccc4O)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*Nc1c(O)cccc1,True,False,True,['catechol']
66,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3C#Cc3ccccc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*C#Cc1ccccc1,False,False,True,['triple bond']
67,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(=O)(=O)[O-])cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(NS(=O)(=O)[O-])cc1,False,False,True,['Sulfonic acid']
68,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N)c(Cl)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(Cl)c(N)cc1,False,False,True,['aniline']
69,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CC=CCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*N1CCC=CC1,True,False,True,['isolated alkene']
70,C#Cc1ccc(-c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)cn1,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(C#C)nc1,False,False,True,['triple bond']
71,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(OC(C)=O)cc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(OC(=O)C)cc1,False,False,True,['phenol ester']
72,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCOc4ccc(OC)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCCOc1ccc(OC)cc1,True,False,True,['Aliphatic long chain']
73,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(NS(=O)(=O)c4ccc(N)cc4)nc3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1,False,False,True,['aniline']
74,C#Cc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,C(*)#C,True,False,True,['triple bond']
75,CC#Cc1ccc(-c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2-c2nc3c(CCC)nn(C)c3c(=O)[nH]2)cc1,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1ccc(C#CC)cc1,False,False,True,['triple bond']
76,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCCCCCC4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,C1CCN(*)CCCC1,True,True,False,[]
77,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccccc3[N+](=O)[O-])nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1c([N+](=O)[O-])cccc1,False,False,True,"['nitro group', 'Oxygen-nitrogen single bond']"
78,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(=O)c4ccc(N)cc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(=O)c1ccc(N)cc1,True,False,True,['aniline']
79,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccnc(-c4ccc(N)cc4)c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc(-c2ccc(N)cc2)ncc1,False,False,True,['aniline']
80,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NCCOc4ccccc4)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NCCOc1ccccc1,True,False,True,['Aliphatic long chain']
81,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3-c3ccc(N)c([N+](=O)[O-])c3)nc12,CCCC1=NN(C)C2=C1N=C(C3=C([*])C=CC(S(=O)(N4CCN(C)CC4)=O)=C3)NC2=O,*c1cc([N+](=O)[O-])c(N)cc1,False,False,True,"['aniline', 'nitro group', 'Oxygen-nitrogen single bond']"
82,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(=O)NC=O)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(=O)NC=O,True,False,True,['aldehyde']
83,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)NC(Cl)(Cl)Cl)ccc3OCC)nc12,CCCC1=NN(C)C2=C1N=C(C3=C(OCC)C=CC(S(=O)([*])=O)=C3)NC2=O,*NC(Cl)(Cl)Cl,True,False,True,"['alkyl halide', 'N-C-halo']"
